no_sequentiel	no_trame	ordre_dans_trame	nom_trame
1419	134	11	Marianne
1420	126	8	Techniques
1421	80	4	Cinquains
1422	115	7	Catherine et Chico
1423	110	8	Un jour de congé
1424	31	10	Questions avec réponse
1425	17	8	Hasards
1426	85	2	La Bourse
1427	127	6	Tactiques
1428	115	8	Catherine et Chico
1429	88	12	La liberté
1430	85	4	La Bourse
1431	89	11	Agacements
1432	115	9	Catherine et Chico
1433	105	8	Réserves
1434	110	12	Un jour de congé
1435	32	11	Problèmes d’examen
1436	85	5	La Bourse
1437	96	12	Personnages
1438	85	6	La Bourse
1439	124	8	La religion
1440	93	3	Le temps
1441	144	11	Exergues
1442	79	1	Étrangetés
1443	114	10	Inventions
1444	47	12	Abandons
1445	67	2	Carnets de Terry
1446	115	10	Catherine et Chico
1447	21	8	Détails plus ou moins utiles
1448	127	7	Tactiques
1449	42	9	Triage
1450	115	11	Catherine et Chico
1451	118	10	À propos du jaune
1452	109	12	Rêves
1453	79	5	Étrangetés
1454	115	12	Catherine et Chico
1455	75	3	Tankas
1456	108	5	Rumeurs
1457	125	10	La sexualité
1458	113	12	Collections
1459	70	11	Erreurs
1460	18	4	Une place pour le monde
1461	78	1	Accidents
1462	109	2	Rêves
1463	132	12	Lapsus
1464	23	11	Patates
1465	127	3	Tactiques
1466	36	9	Fraises
1467	59	2	Savoirs
1468	41	10	La vie des saints
1469	129	12	Fantasmes
1470	103	11	Disparitions
1471	114	8	Inventions
1472	41	5	La vie des saints
1473	121	10	Choses à vouloir
1474	123	11	Carmen et Étienne
1475	92	7	Questions sans réponse
1476	41	6	La vie des saints
1477	80	5	Cinquains
1478	137	8	Peurs
1479	107	7	Nécessités
1480	23	10	Patates
1481	70	12	Erreurs
1482	133	11	L’avenir
1483	80	6	Cinquains
1484	135	7	Zed et Chico
1485	112	4	Langues
1486	98	3	Expressions
1487	87	9	Le corps
1488	139	2	Étienne et Chico
1489	80	9	Cinquains
1490	89	8	Agacements
1491	86	3	Excuses
1492	94	5	Terry et Carmen
1493	60	12	Superstitions
1494	94	6	Terry et Carmen
1495	107	8	Nécessités
1496	94	7	Terry et Carmen
1497	38	5	Oignons
1498	105	4	Réserves
1499	109	10	Rêves
1500	127	8	Tactiques
1501	56	4	Pèlerinages
1502	86	11	Excuses
1503	4	9	Scrabble
1504	135	8	Zed et Chico
1505	58	11	Prolongements
1506	103	12	Disparitions
1507	106	3	Us et coutumes
1508	13	11	La paternité
1509	131	2	Parenthèse(s)
1510	82	5	Moncton
1511	19	11	Détails intéressants
1512	103	9	Disparitions
1513	107	10	Nécessités
1514	7	7	Détails utiles
1515	23	12	Patates
1516	86	9	Excuses
1517	47	8	Abandons
1518	122	10	Sports
1519	57	11	Photocopies
1520	108	7	Rumeurs
1521	67	12	Carnets de Terry
1522	130	11	Le travail
1523	134	10	Marianne
1524	22	8	Dialogues en vrac
1525	112	12	Langues
1526	139	10	Étienne et Chico
1527	107	11	Nécessités
1528	82	8	Moncton
1529	97	6	Les chiffres et les nombres
1530	101	10	Duos
1531	17	11	Hasards
1532	85	7	La Bourse
1533	71	10	Intro broderie
1534	121	1	Choses à vouloir
1535	76	11	Avatars
