no_sequentiel	no_trame	ordre_dans_trame	nom_trame
462	35	10	Le détail dans le détail
463	66	6	Les vertus
464	140	4	Caraquet
465	65	2	Cousins cousines
466	16	3	L’Infirme
467	61	5	Sciences humaines
468	41	8	La vie des saints
469	117	3	La mort
470	140	5	Caraquet
471	33	4	Chiac détail
472	87	8	Le corps
473	66	5	Les vertus
474	16	4	L’Infirme
475	61	6	Sciences humaines
476	18	5	Une place pour le monde
477	65	3	Cousins cousines
478	22	4	Dialogues en vrac
479	117	12	La mort
480	18	8	Une place pour le monde
481	58	6	Prolongements
482	18	3	Une place pour le monde
483	65	6	Cousins cousines
484	22	5	Dialogues en vrac
485	65	4	Cousins cousines
486	73	12	Virages
487	65	8	Cousins cousines
488	35	4	Le détail dans le détail
489	47	3	Abandons
490	18	9	Une place pour le monde
491	35	5	Le détail dans le détail
492	18	10	Une place pour le monde
493	61	11	Sciences humaines
494	21	2	Détails plus ou moins utiles
495	45	8	Détails inutiles
496	22	3	Dialogues en vrac
497	61	7	Sciences humaines
498	125	1	La sexualité
499	98	12	Expressions
500	22	2	Dialogues en vrac
501	65	10	Cousins cousines
502	20	5	Langue
503	58	10	Prolongements
504	131	3	Parenthèse(s)
505	65	7	Cousins cousines
506	18	6	Une place pour le monde
507	33	7	Chiac détail
508	143	10	Varia
509	65	9	Cousins cousines
510	41	12	La vie des saints
511	11	5	Emprunts
512	142	11	Notes
513	131	5	Parenthèse(s)
514	64	7	Contraires
515	61	8	Sciences humaines
516	64	3	Contraires
517	74	2	Hans
518	18	11	Une place pour le monde
519	56	5	Pèlerinages
520	13	4	La paternité
521	74	1	Hans
522	18	12	Une place pour le monde
523	74	3	Hans
524	13	12	La paternité
525	70	10	Erreurs
526	129	11	Fantasmes
527	74	4	Hans
528	28	6	Une vie de couple
529	65	12	Cousins cousines
530	13	8	La paternité
531	74	5	Hans
532	137	1	Peurs
533	89	3	Agacements
534	142	12	Notes
535	83	2	Jouissance et couleur
536	124	1	La religion
537	66	12	Les vertus
538	101	1	Duos
539	78	9	Accidents
540	13	6	La paternité
541	33	10	Chiac détail
542	137	3	Peurs
543	131	8	Parenthèse(s)
544	25	1	Meurtre
545	74	6	Hans
546	25	2	Meurtre
547	74	7	Hans
548	25	3	Meurtre
549	83	8	Jouissance et couleur
550	28	7	Une vie de couple
551	83	1	Jouissance et couleur
552	25	4	Meurtre
553	71	9	Intro broderie
554	28	8	Une vie de couple
555	66	7	Les vertus
556	28	9	Une vie de couple
557	67	6	Carnets de Terry
558	28	10	Une vie de couple
559	83	4	Jouissance et couleur
560	25	6	Meurtre
561	109	3	Rêves
562	28	11	Une vie de couple
563	110	2	Un jour de congé
564	25	7	Meurtre
565	33	6	Chiac détail
566	28	12	Une vie de couple
567	129	10	Fantasmes
568	25	8	Meurtre
569	99	2	Noms
570	25	9	Meurtre
571	90	12	Lettres
572	25	10	Meurtre
573	99	1	Noms
574	25	11	Meurtre
575	74	8	Hans
576	94	2	Terry et Carmen
577	144	5	Exergues
578	9	6	Le potager
579	78	7	Accidents
580	86	10	Excuses
581	33	12	Chiac détail
582	13	10	La paternité
583	11	9	Emprunts
584	127	11	Tactiques
585	58	5	Prolongements
586	43	1	Amour
587	54	8	Oubli/rappel
588	13	7	La paternité
589	20	3	Langue
590	137	6	Peurs
591	131	9	Parenthèse(s)
592	9	7	Le potager
593	120	1	Fictionnaire
594	9	8	Le potager
595	83	7	Jouissance et couleur
596	125	6	La sexualité
597	31	4	Questions avec réponse
598	9	9	Le potager
599	20	6	Langue
600	9	10	Le potager
601	70	2	Erreurs
602	30	6	Chiac
603	20	7	Langue
604	9	11	Le potager
605	70	3	Erreurs
606	106	6	Us et coutumes
607	95	1	Ajouts à La Bibliothèque idéale
608	117	4	La mort
609	58	9	Prolongements
610	9	12	Le potager
611	20	9	Langue
612	37	6	Histoires d’animaux
613	95	3	Ajouts à La Bibliothèque idéale
614	16	5	L’Infirme
615	70	4	Erreurs
616	43	3	Amour
617	21	11	Détails plus ou moins utiles
618	137	4	Peurs
619	95	2	Ajouts à La Bibliothèque idéale
620	113	7	Collections
621	70	5	Erreurs
622	57	6	Photocopies
623	95	4	Ajouts à La Bibliothèque idéale
624	23	1	Patates
625	21	4	Détails plus ou moins utiles
626	23	2	Patates
627	71	7	Intro broderie
628	43	9	Amour
629	3	12	Statistiques
630	44	1	Parrains et marraines
631	83	6	Jouissance et couleur
632	126	11	Techniques
633	70	6	Erreurs
634	44	2	Parrains et marraines
635	70	7	Erreurs
636	44	3	Parrains et marraines
637	83	11	Jouissance et couleur
638	44	4	Parrains et marraines
639	120	9	Fictionnaire
640	37	2	Histoires d’animaux
641	20	11	Langue
642	109	6	Rêves
643	98	1	Expressions
644	44	6	Parrains et marraines
645	95	5	Ajouts à La Bibliothèque idéale
646	23	3	Patates
647	54	2	Oubli/rappel
648	59	1	Savoirs
649	19	7	Détails intéressants
650	101	8	Duos
651	70	9	Erreurs
652	44	5	Parrains et marraines
653	35	6	Le détail dans le détail
654	49	4	Élizabeth II
655	60	2	Superstitions
656	88	6	La liberté
657	68	3	Projets
658	140	7	Caraquet
659	45	10	Détails inutiles
660	40	1	Ménage ton ravage
661	78	3	Accidents
662	40	2	Ménage ton ravage
663	116	5	Vrai ou faux
664	40	3	Ménage ton ravage
665	54	5	Oubli/rappel
666	51	1	Mots croisés
667	58	3	Prolongements
668	40	4	Ménage ton ravage
669	60	10	Superstitions
670	40	5	Ménage ton ravage
671	104	1	Inquiétudes
672	51	2	Mots croisés
673	61	10	Sciences humaines
674	40	6	Ménage ton ravage
675	83	9	Jouissance et couleur
676	40	7	Ménage ton ravage
677	61	12	Sciences humaines
678	82	6	Moncton
679	138	3	L’Autre
680	51	4	Mots croisés
681	97	9	Les chiffres et les nombres
682	40	8	Ménage ton ravage
683	138	4	L’Autre
684	51	5	Mots croisés
685	116	2	Vrai ou faux
686	40	9	Ménage ton ravage
687	95	6	Ajouts à La Bibliothèque idéale
688	47	5	Abandons
689	81	1	Titres
690	40	10	Ménage ton ravage
691	138	5	L’Autre
692	51	6	Mots croisés
693	83	10	Jouissance et couleur
694	40	11	Ménage ton ravage
695	81	2	Titres
696	59	3	Savoirs
697	138	6	L’Autre
698	40	12	Ménage ton ravage
699	138	7	L’Autre
700	59	4	Savoirs
701	83	12	Jouissance et couleur
702	51	8	Mots croisés
703	89	6	Agacements
704	51	3	Mots croisés
705	138	8	L’Autre
706	44	7	Parrains et marraines
707	128	8	Ferveurs
708	51	7	Mots croisés
709	74	12	Hans
710	51	9	Mots croisés
711	55	4	Haïkus
712	51	10	Mots croisés
713	103	6	Disparitions
714	44	8	Parrains et marraines
715	98	10	Expressions
716	51	12	Mots croisés
717	105	9	Réserves
718	43	11	Amour
719	131	6	Parenthèse(s)
720	43	12	Amour
721	144	6	Exergues
722	103	2	Disparitions
723	116	4	Vrai ou faux
724	44	9	Parrains et marraines
725	43	5	Amour
726	101	2	Duos
727	68	4	Projets
728	44	10	Parrains et marraines
729	92	2	Questions sans réponse
730	101	3	Duos
731	60	5	Superstitions
732	49	2	Élizabeth II
733	76	8	Avatars
734	44	11	Parrains et marraines
735	90	10	Lettres
736	59	5	Savoirs
737	106	10	Us et coutumes
738	44	12	Parrains et marraines
739	51	11	Mots croisés
740	109	9	Rêves
741	98	2	Expressions
742	16	7	L’Infirme
743	120	4	Fictionnaire
744	104	9	Inquiétudes
745	32	4	Problèmes d’examen
746	16	8	L’Infirme
747	54	3	Oubli/rappel
748	49	6	Élizabeth II
749	43	7	Amour
750	16	9	L’Infirme
751	95	8	Ajouts à La Bibliothèque idéale
752	137	12	Peurs
753	7	5	Détails utiles
754	29	1	En route
755	96	4	Personnages
756	29	2	En route
757	122	3	Sports
758	49	7	Élizabeth II
759	99	5	Noms
760	29	3	En route
761	136	2	L’inavouable
762	49	8	Élizabeth II
763	43	6	Amour
764	29	4	En route
765	136	3	L’inavouable
766	49	9	Élizabeth II
767	136	1	L’inavouable
768	29	5	En route
769	21	1	Détails plus ou moins utiles
770	29	6	En route
771	3	7	Statistiques
772	49	10	Élizabeth II
773	136	4	L’inavouable
774	29	7	En route
775	122	2	Sports
776	49	3	Élizabeth II
777	138	9	L’Autre
778	29	8	En route
779	114	5	Inventions
780	137	2	Peurs
781	120	7	Fictionnaire
782	49	11	Élizabeth II
783	120	8	Fictionnaire
784	29	9	En route
785	122	5	Sports
786	49	12	Élizabeth II
787	126	5	Techniques
788	29	10	En route
789	127	2	Tactiques
790	47	1	Abandons
791	128	2	Ferveurs
792	29	11	En route
793	129	3	Fantasmes
794	106	1	Us et coutumes
795	136	5	L’inavouable
796	29	12	En route
797	71	11	Intro broderie
798	59	12	Savoirs
799	55	5	Haïkus
800	76	9	Avatars
801	57	2	Photocopies
802	43	8	Amour
803	138	12	L’Autre
804	52	1	Cérémonie
805	55	6	Haïkus
806	64	5	Contraires
807	43	4	Amour
808	52	2	Cérémonie
809	120	12	Fictionnaire
810	59	11	Savoirs
811	45	1	Détails inutiles
812	52	3	Cérémonie
813	107	6	Nécessités
814	23	5	Patates
815	121	9	Choses à vouloir
816	52	4	Cérémonie
817	2	8	Couleurs
818	141	1	Obsessions
819	87	11	Le corps
820	86	1	Excuses
821	71	8	Intro broderie
822	143	1	Varia
823	95	10	Ajouts à La Bibliothèque idéale
824	52	6	Cérémonie
825	55	7	Haïkus
826	71	12	Intro broderie
827	111	1	Outils
828	86	2	Excuses
829	136	6	L’inavouable
830	52	5	Cérémonie
831	111	4	Outils
832	36	1	Fraises
833	136	7	L’inavouable
834	36	2	Fraises
835	136	8	L’inavouable
836	52	7	Cérémonie
837	55	8	Haïkus
838	111	7	Outils
839	140	11	Caraquet
840	36	3	Fraises
841	127	12	Tactiques
842	36	4	Fraises
843	122	1	Sports
844	36	5	Fraises
845	126	1	Techniques
846	36	6	Fraises
847	73	2	Virages
848	36	7	Fraises
849	126	9	Techniques
850	36	8	Fraises
851	57	9	Photocopies
852	36	10	Fraises
853	122	7	Sports
854	143	2	Varia
855	68	9	Projets
856	52	8	Cérémonie
857	122	6	Sports
858	52	9	Cérémonie
859	111	2	Outils
860	52	10	Cérémonie
861	42	5	Triage
862	52	11	Cérémonie
863	56	3	Pèlerinages
864	52	12	Cérémonie
865	144	7	Exergues
866	50	10	Fundy
867	116	7	Vrai ou faux
868	50	11	Fundy
869	62	1	Sondage/hommes
870	124	2	La religion
871	77	1	Grammaire
872	23	4	Patates
873	69	1	Sondage/femmes
874	50	3	Fundy
875	92	4	Questions sans réponse
876	98	6	Expressions
877	62	2	Sondage/hommes
878	143	6	Varia
879	69	2	Sondage/femmes
880	126	6	Techniques
881	25	12	Meurtre
882	50	1	Fundy
883	98	7	Expressions
884	59	8	Savoirs
885	73	5	Virages
886	50	2	Fundy
887	77	3	Grammaire
888	50	4	Fundy
889	62	3	Sondage/hommes
890	79	6	Étrangetés
891	69	3	Sondage/femmes
892	50	5	Fundy
893	77	4	Grammaire
894	50	6	Fundy
895	62	4	Sondage/hommes
896	106	9	Us et coutumes
897	79	8	Étrangetés
898	50	7	Fundy
899	124	6	La religion
900	50	8	Fundy
901	77	5	Grammaire
902	59	7	Savoirs
903	111	3	Outils
904	50	9	Fundy
905	69	4	Sondage/femmes
906	127	9	Tactiques
907	62	5	Sondage/hommes
908	50	12	Fundy
909	69	5	Sondage/femmes
910	16	6	L’Infirme
911	76	5	Avatars
912	38	1	Oignons
913	62	6	Sondage/hommes
914	111	10	Outils
915	69	6	Sondage/femmes
916	38	2	Oignons
917	99	10	Noms
918	59	9	Savoirs
919	77	6	Grammaire
920	73	1	Virages
921	7	2	Détails utiles
922	122	9	Sports
923	76	3	Avatars
924	59	10	Savoirs
925	73	6	Virages
926	53	1	Consommateurs avertis
927	62	7	Sondage/hommes
928	53	2	Consommateurs avertis
929	73	9	Virages
930	38	3	Oignons
931	69	7	Sondage/femmes
932	53	3	Consommateurs avertis
933	62	8	Sondage/hommes
934	134	2	Marianne
935	95	7	Ajouts à La Bibliothèque idéale
936	53	4	Consommateurs avertis
937	69	8	Sondage/femmes
938	141	2	Obsessions
939	62	9	Sondage/hommes
940	53	5	Consommateurs avertis
941	48	12	Inférences
942	53	6	Consommateurs avertis
943	77	7	Grammaire
944	63	11	Terry et Zed
945	69	9	Sondage/femmes
946	53	7	Consommateurs avertis
947	127	4	Tactiques
948	131	7	Parenthèse(s)
949	129	8	Fantasmes
950	49	5	Élizabeth II
951	62	10	Sondage/hommes
952	53	8	Consommateurs avertis
953	69	10	Sondage/femmes
954	141	7	Obsessions
955	38	4	Oignons
956	53	9	Consommateurs avertis
957	32	7	Problèmes d’examen
958	59	6	Savoirs
959	42	7	Triage
960	143	8	Varia
961	62	11	Sondage/hommes
962	53	10	Consommateurs avertis
963	69	11	Sondage/femmes
964	93	12	Le temps
965	138	10	L’Autre
966	53	11	Consommateurs avertis
967	77	8	Grammaire
968	38	9	Oignons
969	68	7	Projets
970	53	12	Consommateurs avertis
971	38	10	Oignons
972	101	6	Duos
973	75	1	Tankas
974	133	4	L’avenir
975	75	2	Tankas
976	73	11	Virages
977	107	5	Nécessités
978	86	6	Excuses
979	122	8	Sports
980	23	6	Patates
981	128	3	Ferveurs
982	126	2	Techniques
983	68	6	Projets
984	87	10	Le corps
985	38	11	Oignons
986	113	2	Collections
987	62	12	Sondage/hommes
988	102	1	Le trio
989	104	7	Inquiétudes
990	102	2	Le trio
991	120	5	Fictionnaire
992	113	1	Collections
993	136	9	L’inavouable
994	102	3	Le trio
995	136	10	L’inavouable
996	113	3	Collections
997	86	4	Excuses
998	113	5	Collections
999	136	11	L’inavouable
1000	102	4	Le trio
1001	69	12	Sondage/femmes
1002	102	5	Le trio
1003	38	6	Oignons
1004	101	7	Duos
1005	99	6	Noms
1006	126	12	Techniques
1007	30	9	Chiac
1008	102	6	Le trio
1009	144	8	Exergues
1010	102	7	Le trio
1011	7	1	Détails utiles
1012	106	8	Us et coutumes
1013	93	9	Le temps
1014	141	8	Obsessions
1015	81	3	Titres
1016	143	7	Varia
1017	38	12	Oignons
1018	84	1	Histoire
1019	55	9	Haïkus
1020	84	2	Histoire
1021	42	10	Triage
1022	124	3	La religion
1023	66	8	Les vertus
1024	73	4	Virages
1025	42	3	Triage
1026	104	4	Inquiétudes
1027	111	9	Outils
1028	87	5	Le corps
1029	42	6	Triage
1030	84	3	Histoire
1031	88	4	La liberté
1032	103	7	Disparitions
1033	67	3	Carnets de Terry
1034	92	8	Questions sans réponse
1035	66	11	Les vertus
1036	92	5	Questions sans réponse
1037	112	6	Langues
1038	124	4	La religion
1039	65	11	Cousins cousines
1040	124	5	La religion
1041	42	1	Triage
1042	84	4	Histoire
1043	17	5	Hasards
1044	63	1	Terry et Zed
1045	47	10	Abandons
1046	63	2	Terry et Zed
1047	95	11	Ajouts à La Bibliothèque idéale
1048	63	3	Terry et Zed
1049	132	4	Lapsus
1050	15	2	Monologues non identifiés
1051	78	11	Accidents
1052	123	1	Carmen et Étienne
1053	54	11	Oubli/rappel
1054	84	5	Histoire
1055	99	11	Noms
1056	129	2	Fantasmes
1057	89	10	Agacements
1058	47	7	Abandons
1059	42	4	Triage
1060	123	2	Carmen et Étienne
1061	120	11	Fictionnaire
1062	123	3	Carmen et Étienne
1063	60	7	Superstitions
1064	84	6	Histoire
1065	68	10	Projets
1066	15	9	Monologues non identifiés
1067	105	1	Réserves
1068	87	6	Le corps
1069	128	5	Ferveurs
1070	87	7	Le corps
1071	132	8	Lapsus
1072	82	10	Moncton
1073	81	7	Titres
1074	84	8	Histoire
1075	81	6	Titres
1076	64	10	Contraires
1077	132	11	Lapsus
1078	37	8	Histoires d’animaux
1079	118	1	À propos du jaune
1080	124	9	La religion
1081	70	8	Erreurs
1082	135	3	Zed et Chico
1083	99	12	Noms
1084	93	11	Le temps
1085	132	3	Lapsus
1086	116	6	Vrai ou faux
1087	81	8	Titres
1088	106	2	Us et coutumes
1089	84	9	Histoire
1090	141	5	Obsessions
1091	116	1	Vrai ou faux
1092	89	5	Agacements
1093	118	2	À propos du jaune
1094	139	5	Étienne et Chico
1095	84	10	Histoire
1096	117	5	La mort
1097	60	4	Superstitions
1098	143	3	Varia
1099	132	1	Lapsus
1100	63	4	Terry et Zed
1101	112	2	Langues
1102	87	12	Le corps
1103	118	3	À propos du jaune
1104	109	4	Rêves
1105	32	6	Problèmes d’examen
1106	63	5	Terry et Zed
1107	112	3	Langues
1108	137	5	Peurs
1109	78	8	Accidents
1110	63	6	Terry et Zed
1111	93	10	Le temps
1112	101	12	Duos
1113	36	11	Fraises
1114	63	7	Terry et Zed
1115	60	3	Superstitions
1116	63	8	Terry et Zed
1117	140	1	Caraquet
1118	103	5	Disparitions
1119	112	11	Langues
1120	86	12	Excuses
1121	96	6	Personnages
1122	143	4	Varia
1123	55	11	Haïkus
1124	139	8	Étienne et Chico
1125	56	2	Pèlerinages
1126	92	12	Questions sans réponse
1127	108	11	Rumeurs
1128	106	5	Us et coutumes
1129	91	11	Le poète
1130	63	10	Terry et Zed
1131	118	4	À propos du jaune
1132	138	11	L’Autre
1133	112	7	Langues
1134	88	3	La liberté
1135	67	1	Carnets de Terry
1136	122	4	Sports
1137	117	10	La mort
1138	135	2	Zed et Chico
1139	17	10	Hasards
1140	117	7	La mort
1141	60	8	Superstitions
1142	93	4	Le temps
1143	112	8	Langues
1144	35	11	Le détail dans le détail
1145	81	9	Titres
1146	140	6	Caraquet
1147	132	10	Lapsus
1148	123	9	Carmen et Étienne
1149	54	12	Oubli/rappel
1150	101	5	Duos
1151	99	7	Noms
1152	94	1	Terry et Carmen
1153	144	9	Exergues
1154	91	1	Le poète
1155	90	4	Lettres
1156	91	2	Le poète
1157	84	11	Histoire
1158	91	3	Le poète
1159	116	8	Vrai ou faux
1160	123	4	Carmen et Étienne
1161	112	9	Langues
1162	91	4	Le poète
1163	131	11	Parenthèse(s)
1164	135	9	Zed et Chico
1165	77	10	Grammaire
1166	91	5	Le poète
1167	118	8	À propos du jaune
1168	47	6	Abandons
1169	77	11	Grammaire
1170	123	5	Carmen et Étienne
1171	58	12	Prolongements
1172	123	6	Carmen et Étienne
1173	77	12	Grammaire
1174	91	6	Le poète
1175	90	5	Lettres
1176	123	7	Carmen et Étienne
1177	58	4	Prolongements
1178	128	11	Ferveurs
